"Currency","Symbol","Digital Code","Class","Name","Country","Decimal Places","Decimal Sign","Grouping Sign","Symbol Separator","Symbol Ahead","Convertion"
"LRD","$","430","Dollar","Liberian Dollar","Liberia","2",".",",","","True",""
"LSL","L","426","Loti","Loti","Lesotho","2",".",",","\u00A0","True",""
"LYD","ل.د","434","Dinar","Libyan Dinar","Libya","3",",",".","\u00A0","True",""
"MAD","د.م.","504","Dirham","Moroccan Dirham","Morocco","2","\u066B","\u066C","\u00A0","False","٠١٢٣٤٥٦٧٨٩-"
"MDL","L","498","Leu","Moldovan Leu","Moldova","2",",",".","\u00A0","False",""
"MGA","Ar","969","Ariary","Malagasy Ariary","Madagascar","0",",","\u202F","\u00A0","False",""
"MKD","ден.","807","Denar","Denar","Macedonia","2",",",".","\u00A0","False",""
"MMK","K","104","Kyat","Kyat","Myanmar (Burma)","2",".",",","\u00A0","False","၀၁၂၃၄၅၆၇၈၉-"
"MNT","₮","496","Tugrik","Tugrik","Mongolia","2",".",",","\u00A0","True",""
"MOP","P","446","Pataca","Pataca","Macao","2",".",",","\u00A0","True",""
"MRU","أ.م","929","Ouguiya","Ouguiya","Mauritania","2","\u066B","\u066C","\u00A0","False","٠١٢٣٤٥٦٧٨٩-"
"MUR","₨","480","Rupee","Mauritius Rupee","Mauritius","2",".",",","\u00A0","True",""
"MVR","ރ.","462","Rufiyaa","Rufiyaa","Maldives","2",".",",","\u00A0","True",""
"MWK","MK","454","Kwacha","Kwacha","Malawi","2",".",",","\u00A0","True",""
"MXN","$","484","Peso","Mexican Peso","Mexico","2",".",",","","True",""
"MYR","RM","458","Ringgit","Malaysian Ringgit","Malaysia","2",".",",","\u00A0","True",""
"MZN","MTn","943","Metical","Metical","Mozambique","0",",",".","\u00A0","False",""
"NAD","$","516","Dollar","Namibia Dollar","Namibia","2",".",",","","True",""
"NGN","₦","566","Naira","Naira","Nigeria","2",".",",","","True",""
"NIO","C$","558","Oro","Cordoba Oro","Nicaragua","2",".",",","","True",""
"NOK","kr","578","Krone","Norwegian Krone","Norway","2",",","\u202F","\u00A0","True",""
"NPR","नेरू","524","Rupee","Nepalese Rupee","Nepal","2",".",",","\u00A0","True","०१२३४५६७८९-"
"NZD","$","554","Dollar","New Zealand Dollar","Cook Islands","2",".",",","","True",""
"NZD","$","554","Dollar","New Zealand Dollar","New Zealand","2",".",",","","True",""
"NZD","$","554","Dollar","New Zealand Dollar","Niue","2",".",",","","True",""
"NZD","$","554","Dollar","New Zealand Dollar","Pitcairn Island","2",".",",","","True",""
"OMR","ر.ع.","512","Rial","Rial Omani","Oman","3","\u066B","\u066C","\u00A0","False","٠١٢٣٤٥٦٧٨٩-"
"PAB","B/.","590","Balboa","Balboa","Panama","2",".",",","\u00A0","True",""
"PEN","S/.","604","Nuevo Sol","Nuevo Sol","Peru","2",".",",","\u00A0","True",""
"PGK","K","598","Kina","Kina","Papua New Guinea","2",".",",","\u00A0","True",""
